nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,precio_litro_final,marca
Leche Alpura Deslactosada 0% grasa 1 L,$32.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-0-grasa-1-l/00750105591828?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,32.0,1.0,L,32.0,Lacteos,False,32.0,Alpura
Leche San Marcos deslactosada light 1 l,$35.00,https://despensa.bodegaaurrera.com.mx/ip/leche-san-marcos-deslactosada-light-1-l/00750115841451?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,35.0,1.0,L,35.0,Lacteos,False,35.0,San Marcos
Leche Santa Clara Deslactosada Light 1.5 lt,$55.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-deslactosada-light-1-5-lt/00750105538578?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,55.0,1.5,L,36.66666666666666,Lacteos,False,36.66666666666666,Santa Clara
Leche Alpura Selecta Deslactosada 4 Pack 1 Lt c/u,$124.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-selecta-deslactosada-4-pack-1-lt-c-u/00750105591822?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,124.0,1.0,L,124.0,Lacteos,False,31.0,Alpura
Leche Lala UHT deslactosada light baja en grasa 1.5 l,$47.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-deslactosada-light-baja-en-grasa-1-5-l/00750102055344?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,47.0,1.5,L,31.33333333333333,Lacteos,False,31.333333333333332,Lala
Leche Great Value deslactosada caja con 6 pzas de 1 l c/u,$153.00,https://despensa.bodegaaurrera.com.mx/ip/leche-great-value-deslactosada-caja-con-6-pzas-de-1-l-c-u/00750649501427?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,153.0,6.0,pzas,25.5,Lacteos,False,25.5,Great Value
Café Alpura Lechero 1 l,$36.00,https://despensa.bodegaaurrera.com.mx/ip/cafe-alpura-lechero-1-l/00750105591515?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,36.0,1.0,L,36.0,Lacteos,False,36.0,Alpura
Leche Santa Clara light de 1 l,$30.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-light-de-1-l/00750129560014?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,30.0,1.0,L,30.0,Lacteos,False,30.0,Santa Clara
Leche Alpura Clásica parcialmente descremada 1 l,$30.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-clasica-parcialmente-descremada-1-l/00750105590003?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,30.0,1.0,L,30.0,Lacteos,False,30.0,Alpura
Leche Alpura Selecta entera 1 l,$35.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-selecta-entera-1-l/00750105590503?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,35.0,1.0,L,35.0,Lacteos,False,35.0,Alpura
Leche Alpura Clásica entera 1.5 l,$44.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-clasica-entera-1-5-l/00750105591025?from=/search,Bodega Aurrera,2026-04-24T22:49:24.957Z,44.0,1.5,L,29.33333333333333,Lacteos,False,29.333333333333332,Alpura
Leche Santa Clara entera caja con 6 pzas de 1 l c/u,$177.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-entera-caja-con-6-pzas-de-1-l-c-u/00750105536750?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,177.0,6.0,pzas,29.5,Lacteos,False,29.5,Santa Clara
Leche Great Value entera 1 l,$19.00,https://despensa.bodegaaurrera.com.mx/ip/leche-great-value-entera-1-l/00750649501422?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,19.0,1.0,L,19.0,Lacteos,False,19.0,Great Value
