nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,presentacion,precio_por_litro,marca
Leche Alpura deslactosada light caja con 6 pzas de 1 l c/u,$172.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-light-caja-con-6-pzas-de-1-l-c-u/00750105591355?athbdg=L1505&from=/search,Walmart,2026-04-24T23:36:03.076Z,172.0,6.0,pzas,28.666666666666668,Lacteos,False,6x1L,28.666666666666668,Alpura
Leche Santa Clara deslactosada caja con 6 pzas 1 l c/u,$180.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-caja-con-6-pzas-1-l-c-u/00750105536751?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,180.0,6.0,pzas,30.0,Lacteos,False,6x1L,30.0,Santa Clara
Leche Santa Clara entera caja con 6 pzas de 1 l c/u,$177.00,https://www.walmart.com.mx/ip/leche-santa-clara-entera-caja-con-6-pzas-de-1-l-c-u/00750105536750?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,177.0,6.0,pzas,29.5,Lacteos,False,6x1L,29.5,Santa Clara
Leche Lala fresca deslactosada y semidescremada 6 pack 1 l c/u,$175.00,https://www.walmart.com.mx/ip/leche-lala-fresca-deslactosada-y-semidescremada-6-pack-1-l-c-u/00750102056599?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,175.0,1.0,L,175.0,Lacteos,False,6x1L,29.166666666666668,Lala
Leche Lala UHT entera 6 pack 1 l c/u,$172.00,https://www.walmart.com.mx/ip/leche-lala-uht-entera-6-pack-1-l-c-u/00750102056596?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,172.0,1.0,L,172.0,Lacteos,False,6x1L,28.666666666666668,Lala
Leche Santa Clara deslactosada light caja con 6 pzas 1 l c/u,$180.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-light-caja-con-6-pzas-1-l-c-u/00750105537150?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,180.0,6.0,pzas,30.0,Lacteos,False,6x1L,30.0,Santa Clara
Leche Lala UHT deslactosada light 6 pack 1 l c/u,$175.00,https://www.walmart.com.mx/ip/leche-lala-uht-deslactosada-light-6-pack-1-l-c-u/00750102056600?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,175.0,1.0,L,175.0,Lacteos,False,6x1L,29.166666666666668,Lala
Leche Lala UHT light 6 pack 1 l c/u,$172.00,https://www.walmart.com.mx/ip/leche-lala-uht-light-6-pack-1-l-c-u/00750102056597?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.076Z,172.0,1.0,L,172.0,Lacteos,False,6x1L,28.666666666666668,Lala
Leche Alpura deslactosada 1.5 l,$51.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-1-5-l/00750105591027?from=/search,Walmart,2026-04-24T23:36:03.076Z,51.0,1.5,L,34.0,Lacteos,False,1.5L,34.0,Alpura
Leche Santa Clara deslactosada 1.5 l,$55.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-1-5-l/00750105537544?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.076Z,55.0,1.5,L,36.66666666666666,Lacteos,False,1.5L,36.666666666666664,Santa Clara
Leche Santa Clara entera 1.5 l,$54.00,https://www.walmart.com.mx/ip/leche-santa-clara-entera-1-5-l/00750105537546?athbdg=L1506&from=/search,Walmart,2026-04-24T23:36:03.076Z,54.0,1.5,L,36.0,Lacteos,False,1.5L,36.0,Santa Clara
Leche Alpura deslactosada light 1.5 l,$51.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-light-1-5-l/00750105591341?from=/search,Walmart,2026-04-24T23:36:03.077Z,51.0,1.5,L,34.0,Lacteos,False,1.5L,34.0,Alpura
Leche Lala UHT deslactosada light baja en grasa 1.5 l,$54.00,https://www.walmart.com.mx/ip/leche-lala-uht-deslactosada-light-baja-en-grasa-1-5-l/00750102055344?from=/search,Walmart,2026-04-24T23:36:03.077Z,54.0,1.5,L,36.0,Lacteos,False,1.5L,36.0,Lala
Leche San Marcos entera 6 pzas de 1 l c/u,$161.00,https://www.walmart.com.mx/ip/leche-san-marcos-entera-6-pzas-de-1-l-c-u/00750115840001?athbdg=L1300&from=/search,Walmart,2026-04-24T23:36:03.077Z,161.0,6.0,pzas,26.83333333333333,Lacteos,False,6x1L,26.833333333333332,San Marcos
Leche Alpura Clásica entera 1.5 l,$50.00,https://www.walmart.com.mx/ip/leche-alpura-clasica-entera-1-5-l/00750105591025?from=/search,Walmart,2026-04-24T23:36:03.077Z,50.0,1.5,L,33.333333333333336,Lacteos,False,1.5L,33.333333333333336,Alpura
Leche Alpura deslactosada 1.5 l,$51.00,https://www.walmart.com.mx/wapcrs/track?bt=1&eventST=click&plmt=sp-search-bottom~desktop~&pos=5&tax=120006_-1_860172&rdf=1&rd=https%3A%2F%2Fwww.walmart.com.mx%2Fip%2Fleche-alpura-deslactosada-1-5-l%2F00750105591027&adUid=9f4be8ce-1a8f-4a20-9004-37904639632a&mloc=sp-search-bottom&pltfm=desktop&pgId=leche&pt=search&spQs=6FCucBfRRMJ7CjTeQQA3ewk1mvI4bYww2kagDsS1ZWIFQ3BNeT55EAr-i_baeRiUhJDrHa6f9Wn7oC5ey6qTJdeQ7hvakg95UIsU29MjnlxG5g5jCUo1ddE-th2g4x51BTSK7iWI3GwzBXat01WIjarD53C2cv6LQCBMkpQmCFKgmMighruKQWwyjjbdOmoplU9k8uTobp7ugtICFmhImQ&storeId=3721&tn=WMT_MX&wtn=hvgqan&/ip/leche-alpura-deslactosada-1-5-l/00750105591027,Walmart,2026-04-24T23:36:03.077Z,51.0,1.5,L,34.0,Lacteos,False,1.5L,34.0,Alpura
Leche Alpura Deslactosada 0% grasa 1.5 L,$51.00,https://www.walmart.com.mx/wapcrs/track?bt=1&eventST=click&plmt=sp-search-bottom~desktop~&pos=6&tax=120006_-1_860172&rdf=1&rd=https%3A%2F%2Fwww.walmart.com.mx%2Fip%2Fleche-alpura-deslactosada-0-grasa-1-5-l%2F00750105591863&adUid=9f4be8ce-1a8f-4a20-9004-37904639632a&mloc=sp-search-bottom&pltfm=desktop&pgId=leche&pt=search&spQs=6FCucBfRRMJ7CjTeQQA3eyF2PwljbgrXymIsUlu_yuoFQ3BNeT55EAr-i_baeRiUhJDrHa6f9Wn7oC5ey6qTJdeQ7hvakg95UIsU29MjnlxG5g5jCUo1ddE-th2g4x51BTSK7iWI3GwzBXat01WIjd9EUHtT4kVirjwjpy1luUXOu_rJcPiOnvOAw0VsV2wQlU9k8uTobp7ugtICFmhImQ&storeId=3721&tn=WMT_MX&wtn=hvgqan&/ip/leche-alpura-deslactosada-0-grasa-1-5-l/00750105591863,Walmart,2026-04-24T23:36:03.077Z,51.0,1.5,L,34.0,Lacteos,False,1.5L,34.0,Alpura
Leche Lala UHT entera 1.5 l,$53.00,https://www.walmart.com.mx/ip/leche-lala-uht-entera-1-5-l/00750102055073?from=/search,Walmart,2026-04-24T23:36:51.387Z,53.0,1.5,L,35.333333333333336,Lacteos,False,1.5L,35.333333333333336,Lala
Leche Lala UHT deslactosada y semidescremada 1.5 l,$54.00,https://www.walmart.com.mx/ip/leche-lala-uht-deslactosada-y-semidescremada-1-5-l/00750102055067?from=/search,Walmart,2026-04-24T23:36:51.387Z,54.0,1.5,L,36.0,Lacteos,False,1.5L,36.0,Lala
Leche Alpura deslactosada 1.5 l,$51.00,https://www.walmart.com.mx/wapcrs/track?bt=1&eventST=click&plmt=sp-search-bottom~desktop~&pos=5&tax=120006_-1_860172&rdf=1&rd=https%3A%2F%2Fwww.walmart.com.mx%2Fip%2Fleche-alpura-deslactosada-1-5-l%2F00750105591027&adUid=9f4be8ce-1a8f-4a20-9004-37904639632a&mloc=sp-search-bottom&pltfm=desktop&pgId=leche&pt=search&spQs=6FCucBfRRMJ7CjTeQQA3ewk1mvI4bYww2kagDsS1ZWIFQ3BNeT55EAr-i_baeRiUhJDrHa6f9Wn7oC5ey6qTJdeQ7hvakg95UIsU29MjnlxG5g5jCUo1ddE-th2g4x51BTSK7iWI3GwzBXat01WIjarD53C2cv6LQCBMkpQmCFKgmMighruKQWwyjjbdOmoplU9k8uTobp7ugtICFmhImQ&storeId=3721&tn=WMT_MX&wtn=hvgqan&/ip/leche-alpura-deslactosada-1-5-l/00750105591027,Walmart,2026-04-24T23:36:51.388Z,51.0,1.5,L,34.0,Lacteos,False,1.5L,34.0,Alpura
Leche Alpura Deslactosada 0% grasa 1.5 L,$51.00,https://www.walmart.com.mx/wapcrs/track?bt=1&eventST=click&plmt=sp-search-bottom~desktop~&pos=6&tax=120006_-1_860172&rdf=1&rd=https%3A%2F%2Fwww.walmart.com.mx%2Fip%2Fleche-alpura-deslactosada-0-grasa-1-5-l%2F00750105591863&adUid=9f4be8ce-1a8f-4a20-9004-37904639632a&mloc=sp-search-bottom&pltfm=desktop&pgId=leche&pt=search&spQs=6FCucBfRRMJ7CjTeQQA3eyF2PwljbgrXymIsUlu_yuoFQ3BNeT55EAr-i_baeRiUhJDrHa6f9Wn7oC5ey6qTJdeQ7hvakg95UIsU29MjnlxG5g5jCUo1ddE-th2g4x51BTSK7iWI3GwzBXat01WIjd9EUHtT4kVirjwjpy1luUXOu_rJcPiOnvOAw0VsV2wQlU9k8uTobp7ugtICFmhImQ&storeId=3721&tn=WMT_MX&wtn=hvgqan&/ip/leche-alpura-deslactosada-0-grasa-1-5-l/00750105591863,Walmart,2026-04-24T23:36:51.388Z,51.0,1.5,L,34.0,Lacteos,False,1.5L,34.0,Alpura
Leche Santa Clara Deslactosada Light 1.5 lt,$55.00,https://www.walmart.com.mx/ip/leche-santa-clara-deslactosada-light-1-5-lt/00750105538578?athbdg=L1506&from=/search,Walmart,2026-04-24T23:37:35.579Z,55.0,1.5,L,36.66666666666666,Lacteos,False,1.5L,36.666666666666664,Santa Clara
Leche Alpura Deslactosada 0% grasa 6 pack 1 L c/u,$172.00,https://www.walmart.com.mx/ip/leche-alpura-deslactosada-0-grasa-6-pack-1-l-c-u/00750105591864?athbdg=L1505&from=/search,Walmart,2026-04-24T23:37:35.579Z,172.0,1.0,L,172.0,Lacteos,False,6x1L,28.666666666666668,Alpura
Leche Alpura deslactosada 1.5 l,$51.00,https://www.walmart.com.mx/wapcrs/track?bt=1&eventST=click&plmt=sp-search-bottom~desktop~&pos=5&tax=120006_-1_860172&rdf=1&rd=https%3A%2F%2Fwww.walmart.com.mx%2Fip%2Fleche-alpura-deslactosada-1-5-l%2F00750105591027&adUid=9f4be8ce-1a8f-4a20-9004-37904639632a&mloc=sp-search-bottom&pltfm=desktop&pgId=leche&pt=search&spQs=6FCucBfRRMJ7CjTeQQA3ewk1mvI4bYww2kagDsS1ZWIFQ3BNeT55EAr-i_baeRiUhJDrHa6f9Wn7oC5ey6qTJdeQ7hvakg95UIsU29MjnlxG5g5jCUo1ddE-th2g4x51BTSK7iWI3GwzBXat01WIjarD53C2cv6LQCBMkpQmCFKgmMighruKQWwyjjbdOmoplU9k8uTobp7ugtICFmhImQ&storeId=3721&tn=WMT_MX&wtn=hvgqan&/ip/leche-alpura-deslactosada-1-5-l/00750105591027,Walmart,2026-04-24T23:37:35.580Z,51.0,1.5,L,34.0,Lacteos,False,1.5L,34.0,Alpura
Leche Alpura Deslactosada 0% grasa 1.5 L,$51.00,https://www.walmart.com.mx/wapcrs/track?bt=1&eventST=click&plmt=sp-search-bottom~desktop~&pos=6&tax=120006_-1_860172&rdf=1&rd=https%3A%2F%2Fwww.walmart.com.mx%2Fip%2Fleche-alpura-deslactosada-0-grasa-1-5-l%2F00750105591863&adUid=9f4be8ce-1a8f-4a20-9004-37904639632a&mloc=sp-search-bottom&pltfm=desktop&pgId=leche&pt=search&spQs=6FCucBfRRMJ7CjTeQQA3eyF2PwljbgrXymIsUlu_yuoFQ3BNeT55EAr-i_baeRiUhJDrHa6f9Wn7oC5ey6qTJdeQ7hvakg95UIsU29MjnlxG5g5jCUo1ddE-th2g4x51BTSK7iWI3GwzBXat01WIjd9EUHtT4kVirjwjpy1luUXOu_rJcPiOnvOAw0VsV2wQlU9k8uTobp7ugtICFmhImQ&storeId=3721&tn=WMT_MX&wtn=hvgqan&/ip/leche-alpura-deslactosada-0-grasa-1-5-l/00750105591863,Walmart,2026-04-24T23:37:35.580Z,51.0,1.5,L,34.0,Lacteos,False,1.5L,34.0,Alpura
