nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio
Arroz La Merced super extra 907 g,$20.00,https://www.walmart.com.mx/ip/arroz-la-merced-super-extra-907-g/00750104720340?from=/search,Walmart,2026-04-24T23:28:03.554Z,20.0,0.907,kg,22.05071664829107,Granos,False
Arroz Aurrera super extra 900 g,$17.00,https://www.walmart.com.mx/ip/arroz-aurrera-super-extra-900-g/00750179163862?from=/search,Walmart,2026-04-24T23:28:03.554Z,17.0,0.9,kg,18.88888888888889,Granos,False
Arroz Verde Valle grano grueso 900 g,$50.00,https://www.walmart.com.mx/ip/arroz-verde-valle-grano-grueso-900-g/00750107130331?from=/search,Walmart,2026-04-24T23:28:03.554Z,50.0,0.9,kg,55.55555555555556,Granos,False
Arroz SOS grano largo uruguayo 1 kg,$30.00,https://www.walmart.com.mx/ip/arroz-sos-grano-largo-uruguayo-1-kg/00750137281256?from=/search,Walmart,2026-04-24T23:28:03.554Z,30.0,1.0,kg,30.0,Granos,False
Arroz Great Value mexicano grano grueso 900 g,$25.00,https://www.walmart.com.mx/ip/arroz-great-value-mexicano-grano-grueso-900-g/00750179165574?from=/search,Walmart,2026-04-24T23:28:03.554Z,25.0,0.9,kg,27.77777777777778,Granos,False
Arroz SOS sushi súper extra 1 kg,$68.00,https://www.walmart.com.mx/ip/arroz-sos-sushi-super-extra-1-kg/00750111110510?from=/search,Walmart,2026-04-24T23:28:03.554Z,68.0,1.0,kg,68.0,Granos,False
Arroz San José grano grueso 750 g,$36.00,https://www.walmart.com.mx/ip/arroz-san-jose-grano-grueso-750-g/00750121410021?from=/search,Walmart,2026-04-24T23:28:03.554Z,36.0,0.75,kg,48.0,Granos,False
Arroz SOS integral súper extra 1 kg,$33.00,https://www.walmart.com.mx/ip/arroz-sos-integral-super-extra-1-kg/00750111110509?from=/search,Walmart,2026-04-24T23:28:03.554Z,33.0,1.0,kg,33.0,Granos,False
Arroz Riceland grano extra largo 454 g,$21.00,https://www.walmart.com.mx/ip/arroz-riceland-grano-extra-largo-454-g/00750121410010?from=/search,Walmart,2026-04-24T23:28:03.554Z,21.0,0.454,kg,46.25550660792951,Granos,False
Arroz Verde Valle impegable 750 g,$47.00,https://www.walmart.com.mx/ip/arroz-verde-valle-impegable-750-g/00750107130255?from=/search,Walmart,2026-04-24T23:28:03.554Z,47.0,0.75,kg,62.66666666666666,Granos,False
Arroz SOS impegable parbolizado 1 kg,$42.00,https://www.walmart.com.mx/ip/arroz-sos-impegable-parbolizado-1-kg/00750111110506?from=/search,Walmart,2026-04-24T23:28:03.554Z,42.0,1.0,kg,42.0,Granos,False
Arroz Diamante grano extra largo 1 kg,$35.00,https://www.walmart.com.mx/ip/arroz-diamante-grano-extra-largo-1-kg/00750121410001?from=/search,Walmart,2026-04-24T23:28:03.554Z,35.0,1.0,kg,35.0,Granos,False
Arroz Knorr Yakimeshi,$42.00,https://www.walmart.com.mx/ip/arroz-knorr-yakimeshi/00750630632162?from=/search,Walmart,2026-04-24T23:28:03.554Z,42.0,1.0,unidad,42.0,Granos,False
Arroz La Merced integral 750 g,$27.00,https://www.walmart.com.mx/ip/arroz-la-merced-integral-750-g/00750104720539?from=/search,Walmart,2026-04-24T23:28:03.554Z,27.0,0.75,kg,36.0,Granos,False
Arroz Verde Valle integral 900 g,$47.00,https://www.walmart.com.mx/ip/arroz-verde-valle-integral-900-g/00750107130013?from=/search,Walmart,2026-04-24T23:28:03.554Z,47.0,0.9,kg,52.22222222222222,Granos,False
Arroz Great Value súper extra precocido 750 g,$27.00,https://www.walmart.com.mx/ip/arroz-great-value-super-extra-precocido-750-g/00750179161013?from=/search,Walmart,2026-04-24T23:28:58.650Z,27.0,0.75,kg,36.0,Granos,False
Arroz La Merced precocido 750 g,$28.00,https://www.walmart.com.mx/ip/arroz-la-merced-precocido-750-g/00750104720234?from=/search,Walmart,2026-04-24T23:28:58.650Z,28.0,0.75,kg,37.333333333333336,Granos,False
Arroz Super Extra Morelos 900g,20.90,https://www.soriana.com/despensa/alimentos-enlatados/frijoles/?cgid=frijoles&srule=frijoles&start=72&sz=24&pageNumber=4&forceOldView=false&view=grid&cref=0,Soriana,2026-04-24T23:43:00.364Z,20.9,0.9,kg,23.22222222222222,Granos,False
Arroz Grano Integral Valley Foods 900 g,19.30,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,19.3,0.9,kg,21.444444444444446,Granos,False
Arroz Valley Foods súper extra 900g,16.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,16.9,0.9,kg,18.77777777777777,Granos,False
Arroz Súper Extra Verde Valle 2 Kg,78.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,78.9,2.0,kg,39.45,Granos,False
Arroz Morelos Verde Valle 1 Kg,56.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,56.9,1.0,kg,56.9,Granos,False
Arroz Integral Verde Valle 900 Gr,44.50,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,44.5,0.9,kg,49.44444444444444,Granos,False
Arroz Impegable Verde Valle 750 Gr,44.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,44.9,0.75,kg,59.86666666666667,Granos,False
Arroz Súper Extra La Merced 900 g,24.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,24.9,0.9,kg,27.666666666666664,Granos,False
Arroz Schettino Super Extra Bol 900gr,21.50,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,21.5,0.9,kg,23.88888888888889,Granos,False
Arroz Sos Morelos Azul Bol 907gr,32.50,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,32.5,0.907,kg,35.83241455347299,Granos,False
Arroz Para Sushi Schettino 900 Grs,49.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,49.9,0.9,kg,55.44444444444444,Granos,False
Arroz Integral La Merced 900 g,33.50,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.012Z,33.5,0.9,kg,37.22222222222222,Granos,False
Arroz Integral SOS 1 Kg,33.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.013Z,33.9,1.0,kg,33.9,Granos,False
Arroz Super Extra 900 Grs,34.00,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.013Z,34.0,0.9,kg,37.77777777777778,Granos,False
Arroz Morelos Grano Grueso 900 Grs,37.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.013Z,37.9,0.9,kg,42.11111111111111,Granos,False
Arroz Arroz Uruguayo Grano Largo Sos 90,35.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.013Z,35.9,1.0,unidad,35.9,Granos,False
Arroz Sos Grano Largo Bol 907gr,34.50,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.013Z,34.5,0.907,kg,38.03748621830209,Granos,False
Arroz Extra Precíssimo 900g,17.00,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.013Z,17.0,0.9,kg,18.88888888888889,Granos,False
